Member_number,Date,itemDescription,Cost,Date_Format
2351,1-Jan-14,cleaner,4.5,41640
2226,1-Jan-14,sausage,2.49,41640
1922,1-Jan-14,tropical fruit,5,41640
2943,1-Jan-14,whole milk,3,41640
1249,1-Jan-14,citrus fruit,4,41640
3681,1-Jan-14,onions,4,41640
1440,1-Jan-14,other vegetables,6,41640
2974,1-Jan-14,berries,7.5,41640
2727,1-Jan-14,hamburger meat,6,41640
1789,1-Jan-14,hamburger meat,6,41640
3942,1-Jan-14,other vegetables,6,41640
2610,1-Jan-14,hamburger meat,6,41640
2237,1-Jan-14,bottled water,3,41640
4942,1-Jan-14,butter,2.5,41640
3956,1-Jan-14,yogurt,2.65,41640
2709,1-Jan-14,yogurt,2.65,41640
3797,1-Jan-14,waffles,7,41640
4260,1-Jan-14,soda,7,41640
2542,1-Jan-14,sliced cheese,5,41640
1381,1-Jan-14,curd,4,41640
1659,1-Jan-14,specialty chocolate,21,41640
2351,1-Jan-14,shopping bags,1.8,41640
2226,1-Jan-14,bottled water,3,41640
1922,1-Jan-14,other vegetables,6,41640
2943,1-Jan-14,flower (seeds),18,41640
1249,1-Jan-14,coffee,16,41640
3681,1-Jan-14,whipped/sour cream,8,41640
1440,1-Jan-14,yogurt,2.65,41640
2974,1-Jan-14,whipped/sour cream,8,41640
2727,1-Jan-14,frozen potato products,3,41640
1789,1-Jan-14,candles,7,41640
3942,1-Jan-14,yogurt,2.65,41640
2610,1-Jan-14,bottled beer,31,41640
2237,1-Jan-14,Instant food products,17,41640
4942,1-Jan-14,frozen vegetables,11,41640
3956,1-Jan-14,shopping bags,1.8,41640
2709,1-Jan-14,frozen vegetables,11,41640
3797,1-Jan-14,whole milk,3,41640
4260,1-Jan-14,brown bread,1.8,41640
2542,1-Jan-14,bottled water,3,41640
1381,1-Jan-14,soda,7,41640
1659,1-Jan-14,frozen vegetables,11,41640
3942,1-Jan-14,Instant food products,17,41640
2610,1-Jan-14,domestic eggs,5,41640
3956,1-Jan-14,waffles,7,41640
3681,1-Jan-14,dishes,7,41640
3956,1-Jan-14,chocolate,6,41640
2974,1-Jan-14,bottled water,3,41640
2755,2-Jan-14,beef,8,41641
4255,2-Jan-14,frankfurter,3,41641
1175,2-Jan-14,hamburger meat,6,41641
4247,2-Jan-14,soda,7,41641
4548,2-Jan-14,UHT-milk,9,41641
1809,2-Jan-14,root vegetables,8,41641
3758,2-Jan-14,rolls/buns,2,41641
3107,2-Jan-14,rolls/buns,2,41641
4887,2-Jan-14,long life bakery product,7,41641
4140,2-Jan-14,curd,4,41641
4527,2-Jan-14,brown bread,1.8,41641
1878,2-Jan-14,root vegetables,8,41641
3120,2-Jan-14,beef,8,41641
3243,2-Jan-14,whole milk,3,41641
2717,2-Jan-14,fruit/vegetable juice,11,41641
3663,2-Jan-14,rolls/buns,2,41641
4316,2-Jan-14,tropical fruit,5,41641
3805,2-Jan-14,semi-finished bread,3,41641
2690,2-Jan-14,rolls/buns,2,41641
3220,2-Jan-14,canned beer,4.5,41641
2755,2-Jan-14,fruit/vegetable juice,11,41641
4255,2-Jan-14,margarine,6,41641
1175,2-Jan-14,other vegetables,6,41641
4247,2-Jan-14,butter,2.5,41641
4548,2-Jan-14,other vegetables,6,41641
1809,2-Jan-14,hard cheese,15,41641
3758,2-Jan-14,domestic eggs,5,41641
3107,2-Jan-14,whole milk,3,41641
4887,2-Jan-14,soap,4,41641
4140,2-Jan-14,newspapers,3,41641
4527,2-Jan-14,curd,4,41641
1878,2-Jan-14,dessert,11,41641
3120,2-Jan-14,whole milk,3,41641
3243,2-Jan-14,pot plants,3,41641
2717,2-Jan-14,fruit/vegetable juice,11,41641
3663,2-Jan-14,frozen vegetables,11,41641
4316,2-Jan-14,candy,11,41641
3805,2-Jan-14,white bread,1.4,41641
2690,2-Jan-14,grapes,8,41641
3220,2-Jan-14,salty snack,6,41641
4746,2-Jan-14,margarine,6,41641
1965,2-Jan-14,chewing gum,3,41641
3156,2-Jan-14,whipped/sour cream,8,41641
2475,2-Jan-14,roll products ,9,41641
2202,2-Jan-14,coffee,16,41641
1809,2-Jan-14,waffles,7,41641
3758,2-Jan-14,rolls/buns,2,41641
2755,2-Jan-14,whole milk,3,41641
3663,2-Jan-14,roll products ,9,41641
4746,2-Jan-14,newspapers,3,41641
1965,2-Jan-14,yogurt,2.65,41641
3156,2-Jan-14,soda,7,41641
2475,2-Jan-14,dishes,7,41641
2202,2-Jan-14,sauces,5.5,41641
3120,2-Jan-14,newspapers,3,41641
2602,3-Jan-14,frankfurter,3,41642
1241,3-Jan-14,oil,6,41642
4664,3-Jan-14,beef,8,41642
2279,3-Jan-14,long life bakery product,7,41642
4146,3-Jan-14,dessert,11,41642
4625,3-Jan-14,white bread,1.4,41642
1483,3-Jan-14,pastry,6,41642
1764,3-Jan-14,honey,9,41642
3517,3-Jan-14,curd,4,41642
2085,3-Jan-14,soda,7,41642
1864,3-Jan-14,oil,6,41642
1362,3-Jan-14,tropical fruit,5,41642
1335,3-Jan-14,waffles,7,41642
2935,3-Jan-14,rolls/buns,2,41642
4822,3-Jan-14,ice cream,16,41642
